"","V1","V2"
"485","ARID5B","MSH2"
"486","ARID5B","MSH6"
"487","ARID5B","NF2"
"488","ARID5B","PCBP1"
"489","ARID5B","PLCG1"
"490","ARID5B","POLRMT"
"491","ARID5B","PTEN"
"492","ARID5B","SETBP1"
"493","ARID5B","SF1"
"494","ARID5B","SIN3A"
"495","ARID5B","TAF1"
"496","ARID5B","TBX3"
"497","ARID5B","THRAP3"
"498","ARID5B","ZC3H12A"
"499","ARID5B","ZMYM3"
"500","ARID5B","ZNF750"
"501","ASXL1","ATRX"
"502","ASXL1","CACNA1A"
"503","ASXL1","EPHA3"
"504","ASXL1","MED12"
"505","ASXL1","NSD1"
"506","ASXL1","POLE"
"507","ASXL1","SMARCA4"
"508","ASXL1","WHSC1"
"509","ASXL2","HUWE1"
"510","ASXL2","NCOR1"
"511","ASXL2","NF1"
"512","ASXL2","TSC1"
"513","ATF7IP","AXIN2"
"514","ATF7IP","BAP1"
"515","ATF7IP","BCOR"
"516","ATF7IP","BRAF"
"517","ATF7IP","CARD11"
"518","ATF7IP","CTNNB1"
"519","ATF7IP","EEF2"
"520","ATF7IP","EGFR"
"521","ATF7IP","EPAS1"
"522","ATF7IP","FGFR2"
"523","ATF7IP","FOXQ1"
"524","ATF7IP","GNA13"
"525","ATF7IP","HGF"
"526","ATF7IP","JAK3"
"527","ATF7IP","LATS1"
"528","ATF7IP","MSH2"
"529","ATF7IP","MUC6"
"530","ATF7IP","PDS5B"
"531","ATF7IP","PLCG1"
"532","ATF7IP","PTEN"
"533","ATF7IP","PTPRC"
"534","ATF7IP","SETBP1"
"535","ATF7IP","SF1"
"536","ATF7IP","SIN3A"
"537","ATF7IP","TAF1"
"538","ATF7IP","USP9X"
"539","ATF7IP","ZMYM3"
"540","ATF7IP","ZNF750"
"541","ATM","EP300"
"542","ATM","RB1"
"543","ATR","CHD4"
"544","ATR","SETD2"
"545","ATR","ZFHX3"
"546","ATRX","CUL1"
"547","ATRX","EPHA3"
"548","ATRX","FLNA"
"549","ATRX","NSD1"
"550","ATRX","POLE"
"551","ATRX","SMARCA4"
"552","ATRX","WHSC1"
"553","ATXN3","CCND1"
"554","ATXN3","CHEK2"
"555","ATXN3","CREB3L3"
"556","ATXN3","CUL3"
"557","ATXN3","ESR1"
"558","ATXN3","FGFR1"
"559","ATXN3","FLT3"
"560","ATXN3","GABRA6"
"561","ATXN3","HLA-B"
"562","ATXN3","IDH1"
"563","ATXN3","IL7R"
"564","ATXN3","IRF2"
"565","ATXN3","JAK2"
"566","ATXN3","KDM5C"
"567","ATXN3","KRT222"
"568","ATXN3","MSH3"
"569","ATXN3","MYCN"
"570","ATXN3","NRAS"
"571","ATXN3","NUP133"
"572","ATXN3","PHF6"
"573","ATXN3","PIK3R1"
"574","ATXN3","PIK3R2"
"575","ATXN3","PMS1"
"576","ATXN3","PMS2"
"577","ATXN3","PPP2R1A"
"578","ATXN3","PTPDC1"
"579","ATXN3","RFC1"
"580","ATXN3","RPS6KA3"
"581","ATXN3","SMAD2"
"582","ATXN3","SMAD4"
"583","ATXN3","SMARCB1"
"584","ATXN3","SMC3"
"585","ATXN3","SPOP"
"586","ATXN3","SRSF2"
"587","ATXN3","TBL1XR1"
"588","ATXN3","TCF12"
"589","ATXN3","TGIF1"
"590","ATXN3","TLR4"
"591","ATXN3","U2AF1L4"
"592","ATXN3","WT1"
"593","ATXN3","XPO1"
"594","ATXN3","ZBTB20"
"595","AXIN1","B2M"
"596","AXIN1","BCL2"
"597","AXIN1","BCL2L11"
"598","AXIN1","CD70"
"599","AXIN1","CDK4"
"600","AXIN1","CDKN1B"
"601","AXIN1","CDKN2C"
"602","AXIN1","CEBPA"
"603","AXIN1","CYLD"
"604","AXIN1","CYSLTR2"
"605","AXIN1","DAZAP1"
"606","AXIN1","EGR3"
"607","AXIN1","FOXA2"
"608","AXIN1","FUBP1"
"609","AXIN1","GNA11"
"610","AXIN1","GNAQ"
"611","AXIN1","H3F3A"
"612","AXIN1","H3F3C"
"613","AXIN1","HIST1H1E"
"614","AXIN1","HLA-A"
"615","AXIN1","IDH2"
"616","AXIN1","IL6ST"
"617","AXIN1","IRF6"
"618","AXIN1","LATS2"
"619","AXIN1","LEMD2"
"620","AXIN1","MAP2K4"
"621","AXIN1","MAPK1"
"622","AXIN1","MEN1"
"623","AXIN1","MYC"
"624","AXIN1","PPM1D"
"625","AXIN1","PPP6C"
"626","AXIN1","PRKAR1A"
"627","AXIN1","PTPN11"
"628","AXIN1","RAC1"
"629","AXIN1","RAF1"
"630","AXIN1","RARA"
"631","AXIN1","RNF43"
"632","AXIN1","RPL5"
"633","AXIN1","SOX17"
"634","AXIN1","TCF7L2"
"635","AXIN1","TGFBR2"
"636","AXIN1","TRAF3"
"637","AXIN1","UNCX"
"638","AXIN1","ZCCHC12"
"639","AXIN2","BAP1"
"640","AXIN2","BRAF"
"641","AXIN2","CASP8"
"642","AXIN2","CDKN1A"
"643","AXIN2","CTNNB1"
"644","AXIN2","DACH1"
"645","AXIN2","DDX3X"
"646","AXIN2","EEF2"
"647","AXIN2","EPAS1"
"648","AXIN2","FGFR2"
"649","AXIN2","FOXQ1"
"650","AXIN2","GNA13"
"651","AXIN2","HGF"
"652","AXIN2","JAK3"
"653","AXIN2","KIT"
"654","AXIN2","MAP3K1"
"655","AXIN2","MSH2"
"656","AXIN2","MSH6"
"657","AXIN2","NF2"
"658","AXIN2","PCBP1"
"659","AXIN2","PLCG1"
"660","AXIN2","POLRMT"
"661","AXIN2","PTEN"
"662","AXIN2","SETBP1"
"663","AXIN2","SF1"
"664","AXIN2","SIN3A"
