"","V1","V2"
"680","DHX9","GRIN2D"
"681","DHX9","GTF2I"
"682","DHX9","INPPL1"
"683","DHX9","KLF5"
"684","DHX9","MAP3K4"
"685","DHX9","NOTCH1"
"686","DIAPH2","DICER1"
"687","DIAPH2","HRAS"
"688","DIAPH2","KMT2B"
"689","DIAPH2","MECOM"
"690","DIAPH2","PBRM1"
"691","DIAPH2","SCAF4"
"692","DIAPH2","SF3B1"
"693","DIAPH2","SOS1"
"694","DICER1","HRAS"
"695","DICER1","KMT2B"
"696","DICER1","MECOM"
"697","DICER1","PBRM1"
"698","DICER1","SCAF4"
"699","DICER1","SF3B1"
"700","DICER1","SOS1"
"701","DMD","FBXW7"
"702","DNMT3A","KIF1A"
"703","DNMT3A","NIPBL"
"704","DNMT3A","NOTCH2"
"705","DNMT3A","PIK3CG"
"706","DNMT3A","RAD21"
"707","DNMT3A","RNF111"
"708","DNMT3A","TSC2"
"709","DNMT3A","TXNIP"
"710","EEF1A1","EZH2"
"711","EEF1A1","KEAP1"
"712","EEF1A1","KEL"
"713","EEF1A1","PGR"
"714","EEF1A1","PLCB4"
"715","EEF1A1","RASA1"
"716","EEF1A1","SMARCA1"
"717","EEF1A1","SOX9"
"718","EEF1A1","TNFAIP3"
"719","EEF1A1","ZFP36L2"
"720","EEF1A1","ZNF133"
"721","EEF2","HGF"
"722","EEF2","JAK3"
"723","EEF2","MSH2"
"724","EEF2","SF1"
"725","EEF2","SIN3A"
"726","EEF2","TAF1"
"727","EGFR","LATS1"
"728","EGFR","MUC6"
"729","EGFR","PDS5B"
"730","EGFR","PTPRC"
"731","EGFR","USP9X"
"732","EGR3","FOXA2"
"733","EGR3","FUBP1"
"734","EGR3","H3F3A"
"735","EGR3","HIST1H1E"
"736","EGR3","IL6ST"
"737","EGR3","IRF6"
"738","EGR3","LATS2"
"739","EGR3","RAF1"
"740","EGR3","RARA"
"741","EGR3","RNF43"
"742","EGR3","TGFBR2"
"743","ELF3","FAT1"
"744","EPAS1","FGFR2"
"745","EPAS1","FOXQ1"
"746","EPAS1","GNA13"
"747","EPAS1","PLCG1"
"748","EPAS1","PTEN"
"749","EPAS1","SETBP1"
"750","EPAS1","ZMYM3"
"751","EPAS1","ZNF750"
"752","EPHA2","HIST1H1C"
"753","EPHA2","MTOR"
"754","EPHA2","PSIP1"
"755","EPHA2","RHOA"
"756","EPHA2","ZFP36L1"
"757","EPHA3","POLE"
"758","EPHA3","SMARCA4"
"759","ERBB4","FOXA1"
"760","ERBB4","GATA3"
"761","ERBB4","GPS2"
"762","ERBB4","JAK1"
"763","ERBB4","LZTR1"
"764","ERBB4","MLH1"
"765","ERBB4","NUP93"
"766","ERBB4","PIK3CB"
"767","ERBB4","RET"
"768","ERBB4","RUNX1"
"769","ERBB4","TET2"
"770","ERBB4","ZBTB7B"
"771","ERBB4","ZMYM2"
"772","ESR1","HLA-B"
"773","ESR1","IDH1"
"774","ESR1","KDM5C"
"775","ESR1","MYCN"
"776","ESR1","PMS1"
"777","ESR1","PPP2R1A"
"778","ESR1","SMAD2"
"779","ESR1","SMARCB1"
"780","ESR1","U2AF1L4"
"781","ESR1","WT1"
"782","EZH2","KEAP1"
"783","EZH2","KEL"
"784","EZH2","PGR"
"785","EZH2","PLCB4"
"786","EZH2","RASA1"
"787","EZH2","SMARCA1"
"788","EZH2","SOX9"
"789","EZH2","TNFAIP3"
"790","EZH2","ZFP36L2"
"791","EZH2","ZNF133"
"792","FAM46D","MAX"
"793","FAM46D","MYD88"
"794","FAM46D","RIT1"
"795","FAM46D","RPL22L1"
"796","FAM46D","RQCD1"
"797","FAM46D","RRAS2"
"798","FAM46D","STK11"
"799","FAM46D","TCEB1"
"800","FAM46D","TMSB4X"
"801","FGFR1","FLT3"
"802","FGFR1","GABRA6"
"803","FGFR1","IL7R"
"804","FGFR1","IRF2"
"805","FGFR1","JAK2"
"806","FGFR1","NUP133"
"807","FGFR1","PHF6"
"808","FGFR1","PIK3R1"
"809","FGFR1","PMS2"
"810","FGFR1","PTPDC1"
"811","FGFR1","RFC1"
"812","FGFR1","RPS6KA3"
"813","FGFR1","SMAD4"
"814","FGFR1","SMC3"
"815","FGFR1","TBL1XR1"
"816","FGFR1","TLR4"
"817","FGFR1","XPO1"
"818","FGFR2","FOXQ1"
"819","FGFR2","GNA13"
"820","FGFR2","PLCG1"
"821","FGFR2","PTEN"
"822","FGFR2","SETBP1"
"823","FGFR2","ZMYM3"
"824","FGFR2","ZNF750"
"825","FLT3","GABRA6"
"826","FLT3","IL7R"
"827","FLT3","IRF2"
"828","FLT3","JAK2"
"829","FLT3","NUP133"
"830","FLT3","PHF6"
"831","FLT3","PIK3R1"
"832","FLT3","PMS2"
"833","FLT3","PTPDC1"
"834","FLT3","RFC1"
"835","FLT3","RPS6KA3"
"836","FLT3","SMAD4"
"837","FLT3","SMC3"
"838","FLT3","TBL1XR1"
"839","FLT3","TLR4"
"840","FLT3","XPO1"
"841","FOXA1","GATA3"
"842","FOXA1","GPS2"
"843","FOXA1","JAK1"
"844","FOXA1","LZTR1"
"845","FOXA1","MLH1"
"846","FOXA1","NUP93"
"847","FOXA1","PIK3CB"
"848","FOXA1","RET"
"849","FOXA1","RUNX1"
"850","FOXA1","TET2"
"851","FOXA1","ZBTB7B"
"852","FOXA1","ZMYM2"
"853","FOXA2","FUBP1"
"854","FOXA2","H3F3A"
"855","FOXA2","HIST1H1E"
"856","FOXA2","IL6ST"
"857","FOXA2","IRF6"
"858","FOXA2","LATS2"
"859","FOXA2","RAF1"
"860","FOXA2","RARA"
"861","FOXA2","RNF43"
"862","FOXA2","TGFBR2"
"863","FOXQ1","GNA13"
"864","FOXQ1","PLCG1"
"865","FOXQ1","PTEN"
"866","FOXQ1","SETBP1"
"867","FOXQ1","ZMYM3"
"868","FOXQ1","ZNF750"
"869","FUBP1","H3F3A"
"870","FUBP1","HIST1H1E"
"871","FUBP1","IL6ST"
"872","FUBP1","IRF6"
"873","FUBP1","LATS2"
"874","FUBP1","RAF1"
"875","FUBP1","RARA"
"876","FUBP1","RNF43"
"877","FUBP1","TGFBR2"
"878","GABRA6","IL7R"
"879","GABRA6","IRF2"
"880","GABRA6","JAK2"
"881","GABRA6","NUP133"
"882","GABRA6","PHF6"
"883","GABRA6","PIK3R1"
"884","GABRA6","PMS2"
"885","GABRA6","PTPDC1"
"886","GABRA6","RFC1"
"887","GABRA6","RPS6KA3"
"888","GABRA6","SMAD4"
"889","GABRA6","SMC3"
"890","GABRA6","TBL1XR1"
"891","GABRA6","TLR4"
"892","GABRA6","XPO1"
"893","GATA3","GPS2"
"894","GATA3","JAK1"
"895","GATA3","LZTR1"
"896","GATA3","MLH1"
"897","GATA3","NUP93"
"898","GATA3","PIK3CB"
"899","GATA3","RET"
"900","GATA3","RUNX1"
"901","GATA3","TET2"
"902","GATA3","ZBTB7B"
"903","GATA3","ZMYM2"
"904","GNA11","HLA-A"
"905","GNA11","IDH2"
"906","GNA11","MAP2K4"
"907","GNA11","MEN1"
"908","GNA11","MYC"
